"ID" "TIMESTAMP" "DAY" "DIST" "MAX" "MIN" "MEAN" "MEDIAN"
"20130819-130539" "2013-08-19T13:05:42Z" "Mon" 66.1104848239142 143.8197567966 0 28.6393910694217 31.942607259708
"20130821-005543" "2013-08-21T00:55:49Z" "Wed" 34.4564396463414 65.1429404298 0.3720028197312 22.5942456190337 20.864705740596
"20130821-125650" "2013-08-21T12:56:51Z" "Wed" 59.3249627093726 63.9139594482 0.01946975312952 32.394970730006 36.11919854016
"20130823-005632" "2013-08-23T00:56:40Z" "Fri" 42.0775971977195 118.6972972254 0 23.3108890533781 21.87990574497
"20130824-145316" "2013-08-24T14:53:17Z" "Sat" 38.7717762661962 147.29634207108 0 21.9407830196046 20.74310765235
"20130902-053051" "2013-09-02T05:30:56Z" "Mon" 198.955038779954 191.11826171268 0 20.5454300590011 15.246613507374
"20130903-053339" "2013-09-03T05:33:46Z" "Tue" 183.124925143776 1821.8523109248 0 20.2930715938553 12.30708837096
"20130904-052846" "2013-09-04T05:28:47Z" "Wed" 205.715477815575 443.8542300264 0 21.8603289809473 14.156699037408
"20130905-051514" "2013-09-05T05:15:15Z" "Thu" 179.52121958639 215.96261118588 0 18.8492081454611 13.512415977108
"20130906-053317" "2013-09-06T05:33:18Z" "Fri" 157.829522378531 581.8663420632 0 19.2272398490375 12.018150263412
"20130908-053538" "2013-09-08T05:35:46Z" "Sun" 201.221374087571 457.0644116664 0 22.2633853319018 15.09027175908
"20130909-053455" "2013-09-09T05:35:00Z" "Mon" 172.684380901518 163.42775625708 0 18.6313788407997 12.810852142074
"20130910-052936" "2013-09-10T05:29:42Z" "Tue" 29.9748785115426 148.45951191096 0 18.8305992708227 10.402962663204
"20131006-153355" "2013-10-06T15:33:56Z" "Sun" 22.1457763060859 82.07952454656 0 23.1049739642731 21.834584044128
"20131013-151612" "2013-10-13T15:16:13Z" "Sun" 22.6320197703192 87.0971318874 0 24.3270181865913 23.54270365026
"20131016-130355" "2013-10-16T13:03:56Z" "Wed" 66.8545889421031 121.62137575104 0 28.2951686132419 30.432129749388
"20131018-011335" "2013-10-18T01:13:36Z" "Fri" 73.7879047134059 68.36032840536 0 26.7895084566506 27.264206148156
"20131019-143602" "2013-10-19T14:36:04Z" "Sat" 43.085418870878 75.4618435848 0.03444499668294 21.4201526727463 20.278388179872
